url,label
https://google.com,0
https://github.com,0
https://microsoft.com,0
https://openai.com,0
https://wikipedia.org,0
https://amazon.in,0
https://facebook.com,0
https://youtube.com,0
https://linkedin.com,0
https://stackoverflow.com,0
http://192.168.1.10/login,1
http://paypal-login-security-update.fake/@verify,1
http://free-gift-win-now.fake,1
http://secure-bank-login.fake/update,1
http://verify-account-now.fake,1
http://login-update-security.fake,1
http://gift-card-winner.fake,1
http://account-confirmation.fake/@login,1
http://secure-payment-update.fake,1
http://bank-verification.fake/login,1
